,Video,Mean,Std,Diff1,Diff2,PCAd1,PCAd2,Label
O10,T3,0.920147091,0.050812801,0.002479245,0.300260178,0.028899606,0.094876143,Genuine
O11,T3,0.829086887,0.08562816,0.012756855,0.18566695,0.036531082,0.120654499,Genuine
O12,T3,0.934695461,0.039204384,0.002488637,0.292253511,0.028864041,0.094164283,Genuine
O13,T3,0.80600463,0.208506322,0.012835471,0.080562146,0.025104083,0.080665844,Genuine
O14,T3,0.919992481,0.034437048,0.001543638,0.336705577,0.029351673,0.094130331,Genuine
O15,T3,0.790236643,0.311742611,0.029700994,0.172905711,0.032689671,0.127732898,Genuine
O16,T3,0.936632303,0.103022835,0.006334274,0.042358586,0.028213958,0.094914857,Genuine
O17,T3,0.912322521,0.059411146,0.002123858,0.224412388,0.028197986,0.093217318,Genuine
O18,T3,0.847078072,0.212759797,0.026063536,0.119369745,0.032770788,0.12164733,Genuine
O19,T3,0.948584159,0.039565121,0.002554975,0.279099701,0.026751852,0.094188502,Genuine
O20,T3,0.881556945,0.090384235,0.004394942,0.242802372,0.027745664,0.097255802,Genuine
O1,T4,0.736693311,0.288704434,0.02003388,0.135694694,0.02147877,0.092046699,Genuine
O2,T4,0.90271204,0.047471009,0.00321049,0.291185831,0.023800168,0.079432731,Genuine
O3,T4,0.913472679,0.056901419,0.002295302,0.282629279,0.023890935,0.07816514,Genuine
O4,T4,0.877826893,0.060125227,0.001818208,0.258815804,0.023770097,0.07771687,Genuine
O5,T4,0.966046721,0.015281734,0.001592357,0.322170792,0.02443283,0.077439069,Genuine
O6,T4,0.971769369,0.016925677,0.002736152,0.249257666,0.024372751,0.076748742,Genuine
O7,T4,0.926185333,0.090223481,0.010264862,0.074164586,0.032713114,0.11698992,Genuine
O8,T4,0.819899543,0.240727445,0.022712126,0.164982296,0.023178595,0.110514231,Genuine
O9,T4,0.93598402,0.040566511,0.003487212,0.204974463,0.02420635,0.076721487,Genuine
O10,T4,0.943280202,0.035438351,0.002192201,0.327926624,0.024684395,0.08060175,Genuine
O11,T4,0.819383867,0.074753422,0.007905735,0.127186219,0.02711024,0.094049618,Genuine
O12,T4,0.944834517,0.034833809,0.001705736,0.354306696,0.024307097,0.077451293,Genuine
O13,T4,0.825141044,0.184756678,0.014914748,0.076675747,0.023591691,0.108387601,Genuine
O14,T4,0.855725955,0.178601413,0.015206362,0.071336758,0.023331784,0.105489613,Genuine
O15,T4,0.805991956,0.303102364,0.017226242,0.121371502,0.021879777,0.117848765,Genuine
O16,T4,0.902025621,0.054702244,0.002371313,0.025668554,0.023562862,0.076759739,Genuine
O17,T4,0.911755614,0.054785159,0.002223289,0.283903285,0.023942008,0.078889143,Genuine
O18,T4,0.922726431,0.047086988,0.002882125,0.300352789,0.024228772,0.078214953,Genuine
O19,T4,0.890178779,0.074229009,0.005612442,0.046358294,0.023985593,0.077931269,Genuine
O20,T4,0.852241916,0.070757241,0.005662335,0.33528126,0.024317971,0.083409723,Genuine
O1,T5,0.843183804,0.185234549,0.012202634,0.114445893,0.017396068,0.102196906,Genuine
O2,T5,0.844714097,0.074789096,0.004049411,0.27375217,0.02012509,0.120330468,Genuine
O3,T5,0.882841482,0.149830651,0.006034256,0.046256057,0.019051454,0.124175258,Genuine
O4,T5,0.819297396,0.131654067,0.008211294,0.05047593,0.023327554,0.123887713,Genuine
O5,T5,0.964743604,0.024217202,0.001411145,0.327036876,0.021651452,0.116685889,Genuine
O6,T5,0.962350105,0.019873988,0.002644052,0.276456992,0.022489451,0.116935024,Genuine
O7,T5,0.931240728,0.099260667,0.010016055,0.062046126,0.023540586,0.122619558,Genuine
O8,T5,0.879503213,0.073998179,0.005543131,0.185203593,0.021531252,0.13216994,Genuine
O9,T5,0.893712048,0.051300349,0.003240219,0.268324497,0.020909632,0.115134348,Genuine
O10,T5,0.958531188,0.016111403,0.002162549,0.285740269,0.022212646,0.119908841,Genuine
O11,T5,0.779140355,0.13481718,0.016210738,0.274569268,0.026672747,0.132360396,Genuine
O12,T5,0.937286127,0.042380872,0.002171668,0.289351637,0.021148229,0.118578456,Genuine
O13,T5,0.82510542,0.203903653,0.01339522,0.119051272,0.016499255,0.133073323,Genuine
O14,T5,0.897679658,0.076558839,0.002125081,0.256382891,0.019912478,0.115511059,Genuine
O15,T5,0.738782799,0.285094742,0.031097036,0.175213847,0.019309192,0.113124703,Genuine
O16,T5,0.787631386,0.269349056,0.015443898,0.104351646,0.018783866,0.115500667,Genuine
O17,T5,0.924683491,0.05187584,0.002567067,0.314691512,0.021017756,0.121148014,Genuine
O18,T5,0.93299641,0.039016755,0.002886223,0.295226297,0.021593331,0.116554838,Genuine
O19,T5,0.785807401,0.274654758,0.020893758,0.126081753,0.035419463,0.17661583,Genuine
O20,T5,0.810785754,0.135126245,0.015508562,0.094656468,0.025538889,0.124981222,Genuine
O1,T6,0.828905766,0.197066245,0.017191585,0.145643756,0.042009387,0.15627401,Genuine
O2,T6,0.851851228,0.161786247,0.020627604,0.106252135,0.046291637,0.134297992,Genuine
O3,T6,0.924802429,0.033085556,0.004692629,0.272060676,0.035842529,0.128163262,Genuine
O4,T6,0.916617092,0.050741123,0.002315643,0.225934029,0.033987744,0.129416171,Genuine
